"","Condition","Sex","chicago","TMA_1","TMA_2","TMA_3","TMA_4","TMA_5","TMA_6","TMA_avg","SI_1","SI_2","SI_3","SI_4","SI_5","SI_6","SI_7","SI_8","SI_9","SI_10","SI_11","SI_12","SI_13","SI_14","MW1_1","MW1_2","MW1_3","MW1_4","MW1_5","MW1_6","MW1_7","MW2_1","MW2_2","MW2_3","MW2_4","MW2_5","Del_OverallAcc","Understand_avg","TMA"
"1","1",0,1,2,1,3,2,2,1,1.83333333333333,4,4,5,4,5,5,5,4,5,4,5,4,5,4,2,2,2,2,3,5,5,1,2,1,2,2,0.366666666666667,81.4285714285714,0
"2","1",0,1,1,2,3,1,2,3,2,3,2,2,1,4,2,3,3,4,4,5,3,4,1,2,3,1,2,2,5,5,1,2,1,2,3,0.9,83.8571428571429,0
"3","1",0,1,1,1,1,2,3,5,2.16666666666667,2,4,3,3,4,2,2,3,4,4,4,4,2,3,4,5,3,1,2,4,5,2,2,2,1,1,0.5,84.2857142857143,0
"4","1",1,1,2,2,1,1,2,2,1.66666666666667,4,5,4,4,5,4,5,4,5,5,5,4,4,3,2,4,1,2,1,6,6,2,3,1,2,2,0.6,66,0
"5","0",1,1,2,1,1,3,2,3,2,5,5,4,5,4,5,5,5,5,5,5,4,5,5,2,3,2,1,1,6,6,2,1,1,1,1,0.166666666666667,46.4285714285714,0
"6","1",1,1,2,3,1,1,2,1,1.66666666666667,5,5,5,5,5,5,5,4,4,4,4,4,4,4,2,1,1,1,1,6,6,2,1,1,1,1,0.266666666666667,88.4285714285714,0
"7","1",0,1,2,2,1,1,1,2,1.5,5,4,5,4,5,5,4,5,5,4,5,4,4,4,4,2,1,1,5,6,6,2,1,1,1,3,0.466666666666667,23.3333333333333,0
"8","0",0,1,1,1,1,2,2,2,1.5,4,3,4,4,3,4,4,4,2,4,4,4,4,3,1,1,1,1,1,6,6,1,1,1,2,2,0.5,96.8571428571429,0
"9","0",0,1,2,1,2,3,4,4,2.66666666666667,3,3,2,4,3,4,3,4,3,3,3,3,2,3,1,2,3,3,2,6,6,3,4,3,2,3,0.533333333333333,95.8571428571429,0
"10","0",1,1,1,1,1,1,1,3,1.33333333333333,5,4,4,4,4,5,5,4,4,4,4,4,4,4,1,1,1,1,1,6,2,1,2,1,1,1,0.366666666666667,97.1428571428571,0
"11","1",0,1,2,1,1,2,5,3,2.33333333333333,5,5,5,5,5,5,4,5,4,5,5,5,5,5,1,1,1,2,1,6,6,1,1,1,2,1,0.233333333333333,97.7142857142857,0
"12","0",1,1,2,2,1,1,2,2,1.66666666666667,5,4,4,4,4,4,4,4,5,5,4,4,5,3,2,1,3,1,1,3,4,1,1,1,1,1,0.366666666666667,72.8571428571429,0
"13","1",1,1,2,1,1,2,1,1,1.33333333333333,5,4,4,4,5,5,5,5,4,4,3,4,4,2,1,1,6,1,1,6,6,1,1,1,1,1,0.666666666666667,67.1428571428571,0
"14","0",0,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,1,1,1,6,6,1,1,1,1,6,0.6,93,0
"15","0",1,1,2,1,1,2,3,3,2,4,5,4,4,4,4,4,4,5,5,4,5,4,5,2,3,2,2,2,5,5,3,2,2,4,2,0.533333333333333,78.1428571428571,0
"16","0",0,1,2,1,2,1,1,1,1.33333333333333,4,4,3,3,4,4,4,4,4,4,4,3,4,4,2,2,3,1,3,3,3,2,3,1,1,3,0.633333333333333,99.8571428571429,0
"17","1",0,1,1,1,1,1,1,1,1,5,4,5,4,4,5,5,5,5,5,4,4,4,4,4,6,5,4,5,5,4,3,2,3,2,3,0.333333333333333,72.5714285714286,0
"18","0",1,1,1,1,2,1,3,2,1.66666666666667,4,5,4,5,4,4,4,5,5,4,4,4,5,5,2,3,5,2,2,4,5,3,4,6,1,1,0.2,87.8571428571429,0
"19","1",1,1,1,1,1,2,3,1,1.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,3,6,4,4,4,4,4,1,2,2,3,0.333333333333333,92.8571428571429,0
"20","1",0,1,1,1,1,1,2,2,1.33333333333333,5,5,4,4,5,4,4,4,4,5,5,5,5,3,2,1,1,1,1,1,1,2,1,1,1,1,0.666666666666667,100,0
"21","0",1,1,1,1,1,1,2,1,1.16666666666667,4,3,3,4,4,4,4,5,4,5,5,5,3,4,2,1,1,1,1,5,6,1,1,1,1,1,0.4,85.1428571428571,0
"22","1",1,1,5,2,3,2,4,5,3.5,3,3,1,1,2,3,2,2,3,3,3,3,3,2,4,3,1,1,2,4,3,2,2,1,2,1,0.4,27.8571428571429,0
"23","0",0,1,2,1,1,1,2,1,1.33333333333333,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,6,2,2,2,2,2,2,2,1,0.533333333333333,58.5714285714286,0
"24","0",0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,3,4,4,3,4,4,3,4,4,4,0.466666666666667,73.5714285714286,0
"25","0",1,1,1,1,1,1,2,1,1.16666666666667,4,4,5,3,4,3,3,4,4,4,3,4,3,3,2.53846153846154,2.46153846153846,2.15384615384615,1.76923076923077,2.07692307692308,4.30769230769231,4.30769230769231,4,2,3,3,2,0.466666666666667,47.75,0
"26","1",1,1,3,1,2,1,2,2,1.83333333333333,4,4,3,4,4,4,5,5,4,4,4,5,4,2,1,2,2,1,2,6,5,2,3,2,1,2,0.666666666666667,72.5714285714286,0
"27","1",0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,5,2,1,1,1,0.3,96.2857142857143,1
"28","1",1,1,1,2,1,3,2,2,1.83333333333333,5,4,4,4,5,4,4,5,4,4,4,4,3,5,1,1,1,1,1,6,6,1,1,1,1,1,0.166666666666667,85.5714285714286,0
"29","0",0,1,4,4,4,4,3,4,3.83333333333333,3,4,4,3,5,3.6,4,4,4,3,4,2,5,4,3,4,4,3,3,3,3,5,4,5,5,4,0.2,60,0
"30","0",0,1,1,1,2,1,2,1,1.33333333333333,4,5,3,3,3,4,4,4,4,3,3,4,4,4,2,2,1,1,1,6,5,2,1,1,1,1,0.933333333333333,55,0
"31","1",0,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,2,4,1,1,5,4,1,1,1,1,1,0.6,56.2857142857143,0
"32","0",1,1,2,2,3,2,3,2,2.33333333333333,3,1,1,1,1,1,1,1,3,2,4,2,3,1,3,2,1,1,2,3,4,1,1,2,1,1,0.166666666666667,73.4285714285714,0
"33","0",0,1,1,3,5,3,4,1,2.83333333333333,1,1,1,1,1,3,2,2,3,3,4,2,1,1,3,1,1,1,2,6,3,2,2,2,2,2,0.733333333333333,39,0
"34","1",0,1,3,4,5,1,5,1,3.16666666666667,3,1,3,1,3,3,3,3,3,3,3,3,3,3,4,4,1,1,2,6,6,5,3,1,1,1,0.333333333333333,45.7142857142857,0
"35","0",0,1,1,1,1,1,1,1,1,4,4,3,3,4,4,4,3,4,4,4,4,4,3,2,2,2,2,2,5,5,2,1,1,1,2,0.4,94.1428571428571,0
"36","1",0,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,2,2,2,2,0.0666666666666667,67.1428571428571,0
"37","1",1,1,2,1,1,1,2,1,1.33333333333333,5,5,5,5,4,5,5,5,5,5,3,4,4,1,2.25,2,2.375,1.5,1.625,5.5,5.25,1,1,1,1,1,0.6,98.5714285714286,0
"38","0",1,1,2,1,2,1,2,2,1.66666666666667,3,3,3,2,2,3,3,3,3,3,4,3,4,4,5,3,2,1,1,6,5,2,2,2,1,2,0.733333333333333,83.4285714285714,0
"39","0",1,1,2,1,3,1,3,3,2.16666666666667,4,4,2,1,2,2,2,2,3,3,5,2,1,4,3,2,2,1,2,5,5,3,2,2,2,2,0.733333333333333,66,0
"40","1",0,1,4,2,3,1,3,2,2.5,5,4,4,4,5,5,4,5,3,2,4,4,4,4,2,3,2,1,2,5,5,3,2,1,2,3,0.533333333333333,58,0
"41","0",1,1,2,1,3,2,3,1,2,2,3,1,4,3,2,2,3,4,3.42857142857143,4,4,1,3,2,1,5,6,5,4,5,3,2,1,2,1.46153846153846,0.266666666666667,87,0
"42","1",0,1,1,1,1,1,1,2,1.16666666666667,5,5,5,5,5,5,5,5,5,5,3,5,5,3,1,1,1,1,1,6,6,1,1,1,1,1,0.6,99.2857142857143,0
"43","0",1,1,2,3,2,3,2,3,2.5,4,4,3,3,4,4,3,4,4,4,3,4,3,4,4,5,2,1,3,4,3,2,3,2,3,2,0.166666666666667,46.7142857142857,0
"44","0",1,1,3,1,1,1,3,3,2,5,5,5,5,5,5,4,3,1,5,5,5,5,5,3,4,1,1,1,1,1,6,6,1,1,1,0.233333333333333,5.85714285714286,0
"45","0",0,1,1,5,5,1,3,1,2.66666666666667,3,2,5,1,2,1,1,1,5,3,5,1,1,1,2,2,1,1,2,2,3,6,1,1,6,4,0.266666666666667,91.1428571428571,0
"46","1",0,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1,2,1,1,2,6,6,6,6,6,0.5,14.1428571428571,0
"47","1",0,1,3,2,3,3,2,3,2.66666666666667,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,4,3,3,4,3,3,3,3,3,0.6,50.1428571428571,0
"48","1",0,1,4,3,5,2,1,5,3.33333333333333,4,4,5,5,5,5,5,4,5,4,2,3,3,2,6,6,6,3,5,6,6,1,1,1,2,1,0.533333333333333,30,0
"49","1",1,1,1,1,2,1,3,2,1.66666666666667,5,3,3,3,4,4,3,4,5,5,5,5,4,5,1,1,1,1,1,6,6,1,1,1,1,1,0.733333333333333,90,0
"50","0",1,1,2,1,1,1,3,2,1.66666666666667,3,3,2,2,3,2,3,3,4,2,3,3,4,4,2,3,1,4,5,4,5,4,2,5,3,2,0.2,33.8571428571429,0
"51","1",0,1,1,2,1,1,2,1,1.33333333333333,4,4,3,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,2,2,2,1,1,2,2,0.1,98.7142857142857,0
"52","0",0,0,2,1,1,2,2,1,1.5,2,4,4,2,4,4,4,4,4,3,5,4,5,3,3,2,1,4,5,4,5,3,5,2,5,6,0.3,42,0
"53","0",1,0,1,1,1,2,3,5,2.16666666666667,5,5,5,4,3,5,5,5,5,4,5,4,5,5,5,3,2,3,3,5,6,3,3,2,1,2,0.6,70.1428571428571,0
"54","0",1,0,4,1,5,5,2,1,3,4,4,4,2,2,3,3,4,3,4,4,3,3,1,2,4,1,3,1,4,5,1,3,2,2,2,0.633333333333333,90.5714285714286,0
"55","1",1,0,2,1,2,1,3,2,1.83333333333333,4,3,3,3,4,3,3,4,3,3,3,4,3,4,3,5,2,2,2,6,6,2,2,2,2,2,0.633333333333333,98.4285714285714,0
"56","1",0,0,3,1,3,4,2,5,3,4,4,3,3,3,4,4,4,4,2,2,3,3,5,2.02857142857143,2.05714285714286,1.88571428571429,1.88571428571429,2.11428571428571,4.48571428571429,4.8,3,5,3,1,1,0.8,82.2510204081633,0
"57","0",0,0,3,1,2,1,3,4,2.33333333333333,3,3,3,4,3,3,3,4,3,2,3,4,4,4,2,3,1,2,3,5,6,1,2,1,1,2,0.4,93,0
"58","0",1,0,5,4,4,5,5,5,4.66666666666667,3,1,1,1,1,1,1,2,3,1,5,5,1,5,6,5,2,4,4,2,2,6,6,1,3,6,0.366666666666667,90,1
"59","1",1,0,2,1,2,1,1,3,1.66666666666667,3,2,1,2,2,2,2,2,4,3,4,3,1,3,2,1,1,3,1,4,4,1,1,1,3,2,0.6,57.8571428571429,0
"60","0",0,0,1,2,1,1,2,2,1.5,4,3,4,4,3,4,4,3,4,4,4,4,4,1,2,1,2,1,2,5,6,2,1,1,2,2,0.866666666666667,91.2857142857143,0
"61","1",0,0,1,1,1,1,1,2,1.16666666666667,3,4,4,3,5,5,4,5,4,5,5,5,5,2,1,1,1,4,3,3,4,1,2,2,2,2,0.8,98.8571428571429,0
"62","0",1,0,1,1,2,2,1,1,1.33333333333333,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,5,5,1,1,1,1,1,0.8,96,0
"63","1",1,0,3,2,2,3,3,5,3,4,3,4,4,3,3,3,4,3,3,5,4,3,4,3,2,1,2,2,6,6,3,1,1,1,1,0.433333333333333,95,0
"64","1",1,0,1,1,1,1,2,2,1.33333333333333,4,3,4,4,4,5,5,5,4,5,4,3,5,1,1,2,2,2,2,5,5,1,2,2,2,2,0.5,87.7142857142857,0
"65","0",1,0,1,1,1,1,2,2,1.33333333333333,5,5,5,5,4,5,5,5,4,5,5,5,4,4,2,2,1,1,2,6,6,2,2,1,2,2,0.633333333333333,90,0
"66","1",1,0,1,1,2,1,2,2,1.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,4,3,1,1,1,1,3,0.8,94.8571428571429,0
"67","1",1,0,3,1,1,1,3,3,2,5,5,5,4,4,4,4,5,5,5,5,5,4,3,1,2,1,1,1,6,6,1,1,1,1,1,0.466666666666667,98.5714285714286,0
"68","1",0,0,1,1,2,2,2,1,1.5,3,4,3,2,4,4,5,4,5,4,5,5,5,1,1,2,1,1,2,5,6,1,1,1,1,1,0.933333333333333,80.7142857142857,0
"69","1",1,0,2,1,2,2,3,2,2,4,4,4,4,5,4,3,4,4,4,4,4,4,3,2,1,1,1,1,6,5,2,1,1,1,2,0.566666666666667,75.2857142857143,0
"70","0",1,0,3,1,3,2,4,4,2.83333333333333,2,2,1,1,1,1,1,1,1,1,4,2,2,3,4,3,4,2,5,4,3,3,3,4,3,3,0.333333333333333,63,0
"71","1",0,0,3,2,2,2,3,4,2.66666666666667,4,3,3,3,3,4,4,4,5,4,4,4,3,3,3,2,2,2,2,4,4,2,1,2,2,1,0.866666666666667,83,0
"72","1",1,0,1,1,2,3,5,1,2.16666666666667,5,5,3,2,3,2,2,2,4,5,5,5,5,5,1,4,3,4,2,3,4,1,1,1,1,1,0.2,64.8571428571429,0
"73","0",1,0,2,3,2,2,3,2,2.33333333333333,4,4,4,4,4,4,4,3,4,2,4,3,3,1,1,2,1,1,1,6,6,1,1,1,1,1,0.4,90,0
"74","0",1,0,2,2,2,1,3,2,2,4,3,3,3,3,3,3,4,3,3,3,4,3,3,2,1,1,1,2,6,6,2,1,1,1,1,0.866666666666667,60.2857142857143,0
"75","0",1,0,4,5,1,1,5,5,3.5,3,3,3,1,4,3,3,3,3,3,4,4,3,5,5,6,5,6,6,2,3,5,5,5,4,4,0.7,89.5714285714286,0
"76","1",1,0,1,1,1,1,1,1,1,4,4,4,4,3,3,3,3,3,3,4,3,3,1,1,1,1,1,1,6,6,1,1,2,2,1,0.933333333333333,100,0
"77","1",0,0,1,2,3,1,2,1,1.66666666666667,5,4,4,4,5,5,5,5,5,5,5,5,5,1,2,1,1,2,4,6,6,2,1,1,1,1,0.733333333333333,97,0
"78","1",1,0,2,1,2,1,3,2,1.83333333333333,3,3,3,2,3,3,4,3,4,2,3,3,3,3,2,2,3,1,2,5,5,2,2,1,1,2,0.766666666666667,73.1428571428571,0
"79","0",1,0,1,1,1,1,1,2,1.16666666666667,4,4,4,4,3,4,4,4,4,4,4,4,3,1,1,3,2,1,2,6,6,1,1,1,1,1,0.933333333333333,99.8571428571429,0
"80","1",0,0,2,1,1,1,1,3,1.5,4,3,3,4,4,5,5,5,5,3,3,3,3,4,2,3,1,2,1,6,6,2,3,1,1,1,0.433333333333333,90,0
"81","1",1,0,2,1,3,1,3,3,2.16666666666667,4,3,3,4,5,4,5,3,5,3,4,5,3,2,2,2,1,2,1,6,5,1,1,6,2,1,0.733333333333333,87.5714285714286,0
"82","0",0,0,1,5,5,3,2,3,3.16666666666667,1,1,1,2,1,1,1,1,2,1,5,1,1,1,1,1,4,1,2,3,2,1,1,1,2,2,0.533333333333333,91.5714285714286,0
"83","1",1,0,2,1,1,2,3,2,1.83333333333333,4,3,4,5,4,3,4,3,4,4,5,4,3,4,1,1,1,1,1,6,6,1,1,1,1,1,0.666666666666667,92.2857142857143,0
"84","1",1,0,2,1,3,2,4,4,2.66666666666667,4,3,3,3,4,4,5,4,4,3,4,4,2,2,1,3,2,3,4,5,4,1,2,1,3,3,0.333333333333333,99.7142857142857,0
"85","0",0,0,1,1,1,1,1,2,1.16666666666667,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,1,1,1,1,1,0.5,84.1428571428571,0
"86","1",1,0,2,1,2,1,2,3,1.83333333333333,4,4,3,4,3,4,3,3,3,4,4,4,4,4,3,2,1,1,2,5,6,1,1,1,1,1,0.566666666666667,84.5714285714286,0
"87","0",1,0,2,1,5,1,3,5,2.83333333333333,4,5,3,2,5,5,5,5,5,5,5,5,5,2,2,3,1,2,3,5,6,1,1,2,2,2,1,67.1428571428571,0
"88","0",1,0,2,1,3,2,2,2,2,4,3,4,3,5,4,4,4,3,5,5,3,3,4,2,3,3,1,2,4,4,2,3,2,2,3,0.866666666666667,92.8571428571429,0
"89","1",0,0,2,1,3,1,1,2,1.66666666666667,3,3,3,3,2,3,3,3,3,4,3,3,3,3,5,3,4,3,3,3,4,2,2,1,2,1,0.533333333333333,71,0
"90","1",1,0,1,2,2,1,1,5,2,3,1,1,1,1,1,1,1,1,1,4,2,1,5,3,5,4,5,6,5,3,2,1,1,1,3,0.633333333333333,60.7142857142857,0
"91","1",1,0,3,1,1,1,2,5,2.16666666666667,5,5,5,4,4,4,4,4,5,5,5,5,5,3,2,5,3,3,3,5,5,5,4,5,4,5,0.7,90.5714285714286,0
"92","1",1,0,2,1,2,1,3,2,1.83333333333333,3,3,3,3,4,3,4,4,4,3,5,4,4,4,2,2,2,2,2,5,5,2,2,1,2,2,0.7,66.7142857142857,0
"93","0",0,0,5,5,5,1,5,5,4.33333333333333,5,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,0.133333333333333,28,1
"94","0",1,0,1,2,2,1,1,1,1.33333333333333,4,4,4,4,4,5,5,4,5,4,5,4,5,2,1,2,1,1,1,6,6,1,1,1,1,2,0.666666666666667,96.1428571428571,0
"95","0",0,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,6,6,1,1,1,1,1,1,100,0
"96","1",1,0,2,2,3,3,3,3,2.66666666666667,3,3,3,2,3,3,3,4,3,2,4,3,3,3,2,1,2,2,1,6,6,1,1,2,1,1,0.6,90.4285714285714,0
"97","0",1,0,2,1,1,3,3,4,2.33333333333333,4,2,3,1,2,3,3,4,3,3,4,3,2,3,3,1,2,2,3,2,3,2,1,3,2,1,0.6,63,0
"98","1",0,0,1,3,2,5,1,1,2.16666666666667,5,3,3,3,4,5,5,5,4,3,5,5,3,5,5,1,6,6,4,6,5,5,6,2,1,4,0.866666666666667,40.2857142857143,0
"99","1",0,0,1,1,1,1,1,1,1,3,3,3,3,4,3,4,5,4,5,4,3,2,1,1,1,1,1,1,6,6,1,1,1,1,1,0.466666666666667,100,0
"100","0",0,0,2,2,3,2,2,3,2.33333333333333,4,4,4,3,4,5,4,5,5,5,5,4,3,4,1,3,2,1,3,6,6,1,1,1,1,1,0.533333333333333,91.5714285714286,0
"101","0",1,0,1,1,1,1,2,4,1.66666666666667,5,5,5,4,5,5,5,4,5,5,5,5,5,2,2,3,1,1,1,6,6,2,1,1,2,2,0.8,97.2857142857143,0
"102","0",1,0,2,1,1,1,3,1,1.5,5,4,3,3,4,3,4,4,5,4,5,5,4,3,2,1,1,1,2,5,5,1,2,1,1,2,0.5,86.8571428571429,0
"103","1",0,0,2,1,4,1,2,3,2.16666666666667,4,2,2,1,2,3,3,3,4,4,3,3,3,4,1,3,5,2,4,2,2,1,2,3,4,5,0.466666666666667,58.2857142857143,0
"104","0",1,0,1,2,3,2,1,1,1.66666666666667,5,5,5,4,5,5,5,5,5,5,5,5,4,1,2,1,1,1,2,5,6,2,1,1,2,2,0.733333333333333,99.7142857142857,0
"105","1",1,0,2,1,2,1,3,2,1.83333333333333,3,3,3,2,3,3,4,2,4,3,4,3,3,2,3,3,1,2,2,4,4,1,2,1,2,2,0.766666666666667,80.8571428571429,0
"106","1",1,0,1,1,2,1,2,3,1.66666666666667,4,4,4,3,3,4,4,4,4,4,5,4,4,3,2,3,3,2,2,4,5,2,2,2,3,1,0.666666666666667,90,0
"107","1",1,0,3,2,3,4,5,3,3.33333333333333,4,4,4,3,4,4,4,5,5,5,5,5,4,3,1,2,2,1,2,6,6,3,2,2,3,4,0.833333333333333,91.8571428571429,0
"108","0",1,0,1,2,2,2,1,1,1.5,3,3,2,2,2,3,4,3,4,3,4,3,2,1,2,3,3,5,4,4,5,1,3,1,1,2,0.866666666666667,97.2857142857143,0
"109","1",0,0,1,1,2,1,2,2,1.5,5,4,5,4,4,4,5,4,4,4,5,5,4,4,2,1,1,1,1,2,6,1,2,1,1,1,0.8,89.1428571428571,0
"110","1",1,0,4,2,5,5,5,3,4,4,3,1,2,3,5,5,3,5,5,3,5,3,3,3,2,2,2,2,1,1,1,1,1,1,1,0.9,86.8571428571429,1
"111","1",0,0,1,1,2,1,2,2,1.5,3,4,4,4,4,4,5,5,5,5,5,5,4,1,2,1,1,2,2,6,6,1,1,1,2,2,0.8,100,0
"112","1",0,0,1,2,2,2,1,2,1.66666666666667,4,3,3,3,5,4,3,3,3,3,5,4,3,2,3,2,2,2,2,5,5,2,2,2,1,2,0.733333333333333,97,0
"113","1",1,0,2,1,1,1,3,2,1.66666666666667,3,4,1,2,4,3,3,4,4,3,4,5,3,3,2,3,1,2,1,5,6,1,1,2,1,2,0.666666666666667,68.1428571428571,0
"114","0",1,0,4,3,5,1,4,5,3.66666666666667,3,1,1,1,2,2,1,1,1,2,2,2,1,5,4,4,3,2,2,3,3,6,6,5,6,4,0.533333333333333,11.5714285714286,0
